id;name;vulnerableVersionRange;severity;date
325;grunt-ccompiler;<= 0.1.0;3;2019-02-18T23:47:11Z
326;redis-srvr;<= 2.8.17-beta.6;3;2019-02-18T23:47:07Z
327;haxe-dev;<= 3.2.1;3;2019-02-18T23:47:10Z
328;node-thulac;<= 2.1.3;3;2019-02-18T23:47:06Z
329;node-bsdiff-android;< 0.1.5;3;2018-09-18T13:49:54Z
330;cmake;> 0;3;2018-08-15T19:30:48Z
331;dwebp-bin;<= 0.1.6;3;2019-02-18T23:57:04Z
332;scalajs-standalone-bin;<= 0.4.3;3;2019-02-18T23:47:13Z
333;install-g-test;<= 2.0.12;3;2019-02-18T23:47:20Z
334;nw-with-arm;<= 0.14.0;3;2019-02-18T23:57:01Z
335;scala-bin;<= 0.3.3;3;2019-02-18T23:57:00Z
336;jvminstall;<= 0.1.0;3;2019-02-18T23:57:03Z
337;selenium-wrapper;<= 0.0.9;3;2019-02-18T23:47:21Z
338;apk-parser2;<= 0.1.1;3;2018-09-18T13:49:31Z
339;selenium-chromedriver;<= 0.0.2;3;2019-02-18T23:47:27Z
340;macaca-chromedriver-zxa;<= 0.1.9;3;2019-02-18T23:56:56Z
341;box2d-native;<= 0.0.8;3;2019-02-18T23:56:48Z
342;openframe-image;<= 0.2.0;3;2019-02-18T23:47:37Z
343;fibjs;<= 0.1.8;3;2019-02-18T23:56:54Z
344;atom-node-module-installer;<= 0.9.0;3;2019-02-18T23:56:53Z
345;curses;<= 0.0.10;3;2019-02-18T23:56:47Z
346;node-browser;<= 0.0.3;3;2019-02-18T23:56:50Z
347;pennyworth;<= 1.0.1;3;2019-02-18T23:56:51Z
348;bionode-sra;<= 1.0.3;3;2019-02-18T23:56:45Z
349;httpsync;<= 0.0.8;3;2019-02-18T23:47:40Z
350;dalek-browser-ie;<= 0.0.5;3;2019-02-18T23:50:04Z
351;openframe-glslviewer;<= 0.2.7;3;2019-02-18T23:33:42Z
352;grunt-webdriver-qunit;<= 0.2.6;3;2019-02-18T23:48:11Z
353;dalek-browser-ie-canary;<= 0.0.4-2014-04-04-12-11-49;3;2019-02-18T23:47:47Z
354;chromedriver126;<= 1.0.15;3;2019-02-18T23:33:30Z
355;robot-js;<= 2.0.0;3;2019-02-18T23:48:03Z
356;air-sdk;<= 16.0.0-272-9;3;2019-02-18T23:33:48Z
357;dalek-browser-chrome;<= 0.0.11;3;2019-02-18T23:50:14Z
358;jdf-sass;<= 1.0.18;3;2019-02-18T23:34:11Z
359;cobalt-cli;<= 2.2.3;3;2019-02-18T23:34:05Z
360;apk-parser;< 0.1.6;3;2020-09-01T16:05:44Z
361;imageoptim;<= 0.5.0;3;2019-02-18T23:50:33Z
362;arrayfire-js;<= 0.21.4;3;2019-02-18T23:50:32Z
363;webdrvr;<= 2.43.0-1;3;2019-02-18T23:33:54Z
364;cue-sdk-node;<= 1.2.1;3;2019-02-18T23:50:58Z
365;jser-stat;<= 4.0.3;2;2019-02-18T23:50:53Z
366;sauce-connect;<= 0.1.1;3;2019-02-18T23:34:00Z
367;ipip;< 3.0.0;3;2019-02-18T23:50:41Z
368;ibapi;<= 2.5.6;3;2019-02-18T23:34:17Z
369;dalek-browser-chrome-canary;<= 0.0.10-2014-03-24-17-36-27;3;2019-02-18T23:51:14Z
370;wasdk;<= 1.0.54;3;2019-02-18T23:34:44Z
371;libxl;<= 0.3.2;3;2019-02-18T23:34:48Z
372;selenium-binaries;<= 0.13.9;3;2019-02-18T23:34:37Z
373;webrtc-native;<= 1.4.0;3;2019-02-18T23:50:26Z
374;nodewebkit;<= 0.11.6;3;2019-02-18T23:51:27Z
375;closurecompiler;<= 1.6.1;3;2019-02-18T23:51:19Z
376;steroids;<= 4.1.27;3;2019-02-18T23:35:01Z
377;closure-util;<= 2.0.0-beta.1;3;2019-02-18T23:58:03Z
378;gitbook;< 3.2.2;1;2020-09-01T16:04:39Z
379;npm;< 1.3.3;1;2020-09-01T16:03:34Z
380;bitty;<= 0.2.10;2;2019-02-18T23:38:29Z
381;uws;>= 0.10.0, <= 0.10.8;3;2020-09-01T16:02:29Z
382;mqtt;<= 0.3.13;3;2020-09-01T16:01:24Z
383;pivottable;>= 1.4.0, < 2.0.0;3;2020-09-01T16:00:18Z
384;c3;<= 0.4.10;2;2020-09-01T15:59:11Z
385;swagger-ui;< 2.2.1;4;2020-09-01T15:58:06Z
386;node-krb5;>= 0.0.0;2;2020-09-01T15:57:01Z
387;fuelux;< 3.15.7;3;2020-09-01T15:55:56Z
388;swagger-ui;< 2.2.1;3;2020-09-01T15:36:27Z
389;jqtree;<= 1.3.3;3;2020-09-01T15:35:22Z
390;emojione;<= 1.3.0;3;2020-09-01T15:34:16Z
391;rendr;<= 1.1.3;3;2020-09-01T15:33:10Z
392;gmail-js;<= 0.6.4;3;2020-09-01T15:32:04Z
393;swagger-ui;<= 2.2.0;4;2020-09-01T15:30:58Z
394;bootstrap-tagsinput;<= 0.8.0;3;2020-09-01T15:29:51Z
395;swagger-ui;< 2.2.1;4;2020-09-01T15:28:45Z
396;sequelize;< 3.23.6;4;2020-09-01T15:27:40Z
397;igniteui;<= 0.0.5;1;2019-02-18T23:40:14Z
398;ezseed-transmission;>= 0.0.10, <= 0.0.14;2;2020-09-01T15:26:35Z
399;dojo;<= 1.0;2;2020-09-01T15:25:29Z
400;jsrender;<= 0.9.73;4;2020-09-01T15:24:24Z
401;jws;< 3.0.0;3;2020-09-01T15:23:18Z
402;bittorrent-dht;< 5.1.3;2;2020-09-01T15:22:12Z
403;mysql;<= 2.0.0-alpha7;2;2020-09-01T15:21:05Z
404;hapi;< 11.1.4;2;2020-09-01T15:20:00Z
405;gm;<= 1.20.0;4;2020-09-01T15:18:55Z
406;jshamcrest;<= 0.7.1;3;2019-02-18T23:38:51Z
407;jadedown;<= 0.0.3;1;2019-02-18T23:38:38Z
408;ansi2html;>= 0.0.0;3;2020-09-01T15:17:48Z
409;bleach;>= 0.0.0;2;2020-09-01T15:16:43Z
410;yar;< 2.2.0;3;2020-09-01T15:15:36Z
411;validator;< 3.22.1;3;2020-08-31T23:01:13Z
412;ungit;<= 0.8.4;4;2020-08-31T23:00:10Z
413;tomato;<= 0.0.5;4;2020-08-31T22:59:07Z
414;st;< 0.2.5;3;2020-08-31T22:58:04Z
415;serve-static;>= 1.7.0, < 1.7.2;1;2020-08-31T22:57:02Z
416;serve-static;< 1.6.5;1;2020-08-31T22:57:02Z
417;remarkable;< 1.4.1;3;2020-08-31T22:56:00Z
418;paypal-ipn;< 3.0.0;4;2020-08-31T22:54:56Z
419;nhouston;>= 0.0.0;2;2020-08-31T22:53:54Z
420;marked;<= 0.3.0;2;2020-08-31T22:52:52Z
421;libyaml;< 0.2.3;4;2020-08-31T22:51:50Z
422;libnotify;<= 1.0.3;3;2020-08-31T22:50:48Z
423;ldapauth-fork;< 2.3.3;3;2020-08-31T22:49:46Z
424;jquery-ujs;<= 1.0.3;2;2020-08-31T22:48:44Z
425;inert;< 1.1.1;2;2020-08-31T22:47:41Z
426;hubot-scripts;<= 2.4.3;4;2020-08-31T22:46:38Z
427;hapi;< 6.1.0;2;2020-08-31T22:45:35Z
428;fancy-server;< 0.1.4;3;2020-08-31T22:44:33Z
429;ep_imageconvert;<= 0.0.2;4;2020-08-31T22:43:31Z
430;datatables;< 1.10.10;3;2020-08-31T22:42:29Z
431;connect;<= 2.8.0;1;2020-08-31T22:41:27Z
432;dompurify;< 2.0.3;4;2020-08-28T21:25:11Z
433;@novnc/novnc;< 0.6.2;2;2020-08-28T21:24:59Z
434;hekto;< 0.2.4;1;2018-07-18T21:20:12Z
435;flood;< 3.0.0;4;2020-08-26T19:32:50Z
436;nodebb-plugin-blog-comments;< 0.7.0;2;2020-08-26T18:55:38Z
437;safe-eval;<= 0.4.1;4;2020-08-25T23:40:53Z
438;highcharts;>= 8.0.0, < 8.1.1;3;2020-08-25T14:04:47Z
439;highcharts;< 7.2.2;3;2020-08-25T14:04:47Z
440;keystone;< 4.0.0;3;2017-11-15T19:44:16Z
441;bcrypt;< 5.0.0;2;2020-08-20T14:38:49Z
442;is-my-json-valid;< 1.4.1;1;2017-10-24T18:33:35Z
443;is-my-json-valid;>= 2.0.0, < 2.17.2;1;2017-10-24T18:33:35Z
444;auth0-lock;<= 11.25.1;1;2020-08-19T21:05:03Z
445;ftp-srv;>= 1.0.0, <= 4.3.3;4;2020-08-17T21:44:54Z
446;dot-prop;>= 5.0.0, < 5.1.1;3;2020-07-29T20:56:59Z
447;dot-prop;< 4.2.1;3;2020-07-29T20:56:59Z
448;@uppy/companion;>= 2.0.0-alpha.0, <= 2.0.0-alpha.4;2;2020-08-13T18:54:19Z
449;@uppy/companion;< 1.13.2;2;2020-08-13T18:54:19Z
450;@progress/kendo-angular-editor;< 1.2.3;3;2020-08-11T19:40:10Z
451;tinymce;>= 5.0.0, < 5.4.1;2;2020-08-11T14:55:01Z
452;serialize-javascript;< 3.1.0;3;2020-08-11T17:21:13Z
453;tinymce;< 4.9.11;2;2020-08-11T14:55:01Z
454;prismjs;>= 1.1.0, < 1.21.0;3;2020-08-07T22:28:30Z
455;class-transformer;< 0.3.1;2;2020-04-07T15:47:40Z
456;angular;< 1.8.0;2;2020-08-05T21:47:02Z
457;polaris-website;< 1.1.1;2;2020-08-05T21:43:19Z
458;save-server;< 1.0.5;2;2020-08-04T14:54:08Z
459;fastify;< 2.15.1;2;2020-08-05T14:53:22Z
460;express-fileupload;< 1.1.9;3;2020-08-05T14:53:16Z
461;slp-validate;< 1.2.2;4;2020-07-30T14:58:53Z
462;slpjs;< 0.27.4;4;2020-07-30T14:58:42Z
463;elliptic;< 6.5.3;3;2020-07-29T20:40:35Z
464;rollup-plugin-server;<= 0.7.0;2;2020-07-29T18:07:35Z
465;rollup-plugin-server;<= 0.7.0;2;2020-07-29T18:07:11Z
466;auth0;< 2.27.1;3;2020-07-29T16:26:22Z
467;git-tags-remote;<= 1.0.2;4;2020-07-29T14:53:40Z
468;scratch-vm;<= 0.2.0-prerelease.20200709173451;3;2020-07-27T19:55:52Z
469;fast-http;<= 0.1.3;3;2020-07-27T16:02:57Z
470;jpeg-js;< 0.4.0;2;2020-07-27T15:46:57Z
471;sails-hook-sockets;< 1.5.5;2;2020-07-24T20:10:21Z
472;parse;< 2.10.0;2;2020-07-23T18:20:10Z
473;parse-server;>= 3.5.0, < 4.3.0;3;2020-07-22T23:06:47Z
474;codecov;< 3.7.1;2;2020-07-20T17:20:20Z
475;lodash;< 4.17.19;1;2020-07-15T19:15:48Z
476;standard-version;< 8.0.1;2;2020-07-13T21:34:59Z
477;@knight-lab/timelinejs;< 3.7.0;3;2020-07-09T18:28:07Z
478;socket.io-file;<= 2.0.31;3;2020-07-07T19:24:47Z
479;npm;< 6.14.6;1;2020-07-07T18:56:16Z
480;npm-registry-fetch;>= 5.0.0, < 8.1.1;1;2020-07-07T18:59:10Z
481;npm-registry-fetch;< 4.0.5;1;2020-07-07T18:59:10Z
482;electron;< 7.2.4;3;2020-07-07T00:01:07Z
483;electron;< 7.2.4;3;2020-07-07T00:01:10Z
484;electron;< 7.2.4;2;2020-07-07T00:01:13Z
485;electron;>= 8.0.0, < 8.2.4;1;2020-07-07T00:01:05Z
486;electron;>= 7.0.0, < 7.2.4;1;2020-07-07T00:01:05Z
487;electron;< 6.1.11;1;2020-07-07T00:01:05Z
488;electron;>= 8.0.0, < 8.2.4;3;2020-07-07T00:01:07Z
489;electron;>= 8.0.0, < 8.2.4;3;2020-07-07T00:01:10Z
490;electron;>= 8.0.0, < 8.2.4;2;2020-07-07T00:01:13Z
491;kind-of;>= 6.0.0, < 6.0.3;1;2020-03-31T15:59:54Z
492;express-jwt;<= 5.3.3;3;2020-06-30T16:05:24Z
493;jsrsasign;>= 4.0.0, < 8.0.13;2;2020-06-30T16:05:08Z
494;jsrsasign;>= 4.0.0, < 8.0.19;2;2020-06-26T16:54:15Z
495;generator-jhipster-kotlin;< 1.2.0;4;2020-06-26T16:48:13Z
496;jsrsasign;< 8.0.18;1;2020-06-26T16:27:08Z
497;jsrsasign;>= 3.0.0, < 8.0.16;1;2020-06-26T16:26:50Z
499;url-regex;<= 5.0.0;3;2020-06-22T14:39:03Z
500;angular;< 1.8.0;1;2020-06-18T14:19:58Z
501;mversion;< 2.0.0;3;2020-06-18T19:23:17Z
502;limdu;< 0.95;1;2020-06-22T15:24:06Z
503;npm;< 6.13.3;1;2019-12-13T15:39:19Z
504;dijit;>= 1.16.0, < 1.16.3;1;2020-06-15T21:53:12Z
505;dijit;>= 1.15.0, < 1.15.4;1;2020-06-15T21:53:12Z
506;dijit;>= 1.14.0, < 1.14.7;1;2020-06-15T21:53:12Z
507;dijit;>= 1.13.0, < 1.13.8;1;2020-06-15T21:53:12Z
508;dijit;>= 1.12.0, < 1.12.9;1;2020-06-15T21:53:12Z
509;dijit;< 1.11.11;1;2020-06-15T21:53:12Z
511;umount;<= 1.1.6;4;2020-06-10T20:28:03Z
512;npm-programmatic;<= 0.0.12;4;2020-04-23T20:09:09Z
513;ini-parser;<= 0.0.2;3;2020-06-10T20:27:53Z
514;schema-inspector;< 1.6.9;3;2020-06-10T20:02:47Z
515;graphql-playground-html;< 1.6.22;3;2020-06-09T00:24:57Z
516;apollo-server-micro;< 2.14.2;2;2020-06-05T19:38:14Z
517;apollo-server-lambda;< 2.14.2;2;2020-06-05T19:38:14Z
518;apollo-server-koa;< 2.14.2;2;2020-06-05T19:38:14Z
519;apollo-server-hapi;< 2.14.2;2;2020-06-05T19:38:14Z
520;apollo-server-fastify;< 2.14.2;2;2020-06-05T19:38:14Z
521;apollo-server-express;< 2.14.2;2;2020-06-05T19:38:14Z
522;apollo-server-cloudflare;< 2.14.2;2;2020-06-05T19:38:14Z
523;apollo-server-cloud-functions;< 2.14.2;2;2020-06-05T19:38:14Z
524;apollo-server-core;< 2.14.2;2;2020-06-05T19:38:14Z
525;apollo-server-cache-memcached;< 2.14.2;2;2020-06-05T19:38:14Z
526;apollo-server-azure-functions;< 2.14.2;2;2020-06-05T19:38:14Z
527;apollo-server;< 2.14.2;2;2020-06-05T19:38:14Z
528;logkitty;< 0.7.1;3;2020-06-05T14:47:02Z
529;websocket-extensions;< 0.1.4;2;2020-06-05T16:16:12Z
530;@nozbe/watermelondb;>= 0.16.0, < 0.16.2;2;2020-06-03T21:57:53Z
531;@nozbe/watermelondb;< 0.15.1;2;2020-06-03T21:57:53Z
532;snyk-broker;< 4.80.0;2;2020-06-03T22:02:24Z
533;snyk-broker;< 4.80.0;2;2020-06-03T22:02:21Z
534;snyk-broker;< 4.72.2;2;2020-06-03T22:02:19Z
535;snyk-broker;< 4.73.1;1;2020-06-03T22:02:16Z
536;snyk-broker;< 4.73.1;2;2020-06-03T22:02:14Z
537;snyk-broker;< 4.79.0;2;2020-06-03T22:02:11Z
538;dns-sync;< 0.2.0;3;2020-05-28T18:42:59Z
539;aegir;>= 21.7.0, < 21.10.1;4;2020-05-27T21:09:15Z
540;jquery;< 1.9.0;2;2020-05-20T16:18:01Z
541;curlrequest;<= 1.0.1;3;2020-05-13T16:29:43Z
542;slp-validate;< 1.2.1;4;2020-05-12T00:45:24Z
543;slpjs;< 0.27.2;4;2020-05-12T00:39:03Z
544;tinymce;>= 5.0.0, < 5.2.2;2;2020-05-11T20:00:15Z
545;tinymce;< 4.9.10;2;2020-05-11T20:00:15Z
546;hot-formula-parser;< 3.0.1;4;2020-05-06T19:32:33Z
547;qs;>= 6.3.0, < 6.3.2;3;2020-04-30T17:16:47Z
548;qs;>= 6.2.0, < 6.2.3;3;2020-04-30T17:16:47Z
549;qs;>= 6.1.0, < 6.1.2;3;2020-04-30T17:16:47Z
550;qs;< 6.0.4;3;2020-04-30T17:16:47Z
551;acorn;>= 5.5.0, < 5.7.4;2;2020-04-03T21:48:38Z
552;jquery;>= 1.2, < 3.5.0;2;2020-04-29T22:18:55Z
553;jquery;>= 1.0.3, < 3.5.0;2;2020-04-29T22:19:14Z
554;@actions/http-client;< 1.0.8;2;2020-04-29T17:58:53Z
