id;name;vulnerableVersionRange;severity;date
977;unzipper;< 0.8.13;3;2018-07-27T17:06:50Z
978;serve;< 6.5.2;3;2018-07-27T17:06:03Z
979;mathjax;< 2.7.4;3;2018-07-27T17:05:27Z
980;bracket-template;<= 1.1.5;2;2018-07-27T17:05:06Z
981;markdown-pdf;< 9.0.0;3;2018-07-27T17:03:46Z
982;https-proxy-agent;< 2.2.0;3;2018-07-27T17:04:52Z
983;jquery-ui;< 1.12.0;3;2018-07-27T14:47:52Z
985;passport-azure-ad;>= 1.0.0, < 1.4.6;4;2018-07-26T15:53:31Z
986;simplehttpserver;< 0.1.0;3;2018-07-26T15:03:30Z
987;angular-http-server;<= 1.4.3;3;2018-07-26T14:47:40Z
988;f2e-server;<= 1.12.11;3;2018-07-24T16:29:12Z
989;pg;>= 7.1.0, < 7.1.2;3;2018-07-24T19:44:42Z
990;pg;>= 7.0.0, < 7.0.2;3;2018-07-24T19:44:42Z
991;pg;>= 6.4.0, < 6.4.2;3;2018-07-24T19:44:42Z
992;pg;>= 6.3.0, < 6.3.3;3;2018-07-24T19:44:42Z
993;pg;>= 6.2.0, < 6.2.5;3;2018-07-24T19:44:42Z
994;pg;>= 6.1.0, < 6.1.6;3;2018-07-24T19:44:42Z
995;pg;>= 6.0.0, < 6.0.5;3;2018-07-24T19:44:42Z
996;pg;>= 5.0.0, < 5.2.1;3;2018-07-24T19:44:42Z
997;pg;>= 4.0.0, < 4.5.7;3;2018-07-24T19:44:42Z
998;pg;>= 3.0.0, < 3.6.4;3;2018-07-24T19:44:42Z
999;pg;< 2.11.2;3;2018-07-24T19:44:42Z
1000;pooledwebsocket;< 0.0.19;3;2018-07-24T00:20:57Z
1001;content;< 3.0.7;3;2018-07-24T19:55:05Z
1002;fresh;< 0.5.2;3;2018-07-24T20:16:57Z
1003;forwarded;< 0.1.2;3;2018-07-24T20:16:30Z
1004;method-override;>= 2.0.0, < 2.3.10;3;2018-07-24T20:06:04Z
1006;electron;>= 1.7.0, < 1.7.8;3;2018-07-24T20:04:23Z
1007;electron;< 1.6.14;3;2018-07-24T20:04:23Z
1008;mime;< 1.4.1;2;2018-07-20T16:20:52Z
1009;crud-file-server;< 0.9.0;3;2018-07-18T21:20:19Z
1010;stattic;< 0.3.0;3;2018-07-18T21:20:15Z
1011;serve;< 7.0.0;3;2018-07-18T18:33:15Z
1014;growl;< 1.10.0;4;2018-06-08T12:43:43Z
1015;pdfinfojs;< 0.4.1;3;2018-06-07T19:43:00Z
1016;@ckeditor/ckeditor5-link;>= 0.3.0, < 10.0.1;3;2018-05-23T20:37:46Z
1017;hoek;< 4.2.1;2;2018-04-26T15:25:17Z
1018;electron;>= 2.0, < 2.0.0-beta.3;3;2018-03-26T16:41:17Z
1019;electron;>= 1.8, < 1.8.3;3;2018-03-26T16:41:17Z
1020;electron;>= 1.7, < 1.7.12;3;2018-03-26T16:41:17Z
1021;tiny-json-http;>= 1.0.1, < 7.0.0;3;2018-03-13T20:42:00Z
1022;pym.js;>= 0.4.2, <= 1.3.1;3;2018-03-13T20:38:51Z
1023;ssri;< 5.2.2;2;2018-03-07T22:22:20Z
1024;electron;< 1.8.2-beta5;2;2018-03-26T16:41:20Z
1025;auth0-js;< 9.3.0;2;2018-03-07T22:22:24Z
1026;insight-api;<= 5.0.0;1;2018-03-05T19:33:54Z
1027;moment;< 2.19.3;1;2018-03-05T18:35:09Z
1028;aws-lambda-multipart-parser;< 0.1.2;2;2018-03-05T19:16:56Z
1029;jquery;> 2.1.0, < 3.0.0;2;2018-01-22T13:32:42Z
1030;next;>= 1.0.0, < 4.2.3;3;2018-01-24T19:38:52Z
1031;next;>= 1.0.0, < 2.4.1;3;2017-12-05T02:04:14Z
1032;brace-expansion;< 1.1.7;2;2018-01-29T15:50:46Z
1033;jquery;< 3.0.0;3;2018-01-22T13:32:06Z
1034;marked;< 0.3.7;2;2018-01-04T21:04:19Z
1035;marked;< 0.3.9;2;2018-01-04T21:04:09Z
1036;samlify;< 2.3.0;3;2018-01-04T21:03:33Z
1037;passport-wsfed-saml2;< 3.0.5;3;2017-12-28T22:51:45Z
1038;mqtt;>= 2.0.0, < 2.15.0;2;2017-12-28T22:51:58Z
1039;ecstatic;< 2.0.0;2;2017-12-28T22:52:47Z
1040;auth0-js;< 8.12.0;3;2017-12-21T00:47:20Z
1041;mathjs;< 3.17.0;4;2017-12-18T22:27:53Z
1042;mathjs;< 3.17.0;4;2017-12-18T22:27:45Z
1043;ejs;< 2.5.3;3;2017-11-30T23:15:19Z
1044;ejs;< 2.5.5;3;2018-03-05T18:54:33Z
1045;ejs;< 2.5.5;2;2017-11-30T23:15:05Z
1046;keystone;< 4.0.0-beta.7;3;2017-11-30T23:14:47Z
1047;printer;<= 0.0.1;4;2017-11-28T22:44:52Z
1048;codem-transcode;< 0.5.0;4;2017-11-28T22:20:17Z
1049;keystone;< 4.0.0-beta7;2;2017-11-16T01:47:02Z
1050;keystone;< 4.0.0-beta7;2;2017-11-16T01:46:50Z
1051;keycloak-js;>= 2.5, < 3.1.0;3;2017-11-15T20:41:51Z
1052;keycloak-connect;>= 2.5, < 3.1.0;3;2017-11-15T20:41:51Z
1053;jquery-ui;>= 1.7.0, < 1.10.0;2;2017-10-24T18:33:38Z
1054;jquery-ui;< 1.1.0;2;2017-10-24T18:33:37Z
1055;js-yaml;< 2.0.5;4;2017-10-24T18:33:37Z
1056;validator;< 1.1.0;2;2017-10-24T18:33:36Z
1057;validator;< 1.1.0;2;2017-10-24T18:33:36Z
1058;validator;< 1.1.0;2;2017-10-24T18:33:36Z
1059;validator;< 1.1.0;4;2017-10-24T18:33:36Z
1060;hapi;>= 2.0.0, < 2.2.0;3;2017-10-24T18:33:36Z
1061;send;< 0.8.4;1;2017-10-24T18:33:36Z
1062;qs;< 1.0.0;3;2017-10-24T18:33:36Z
1063;syntax-error;< 1.1.1;1;2017-10-24T18:33:36Z
1064;crumb;< 3.0.0;2;2017-10-24T18:33:36Z
1065;bassmaster;< 1.5.2;4;2017-10-24T18:33:36Z
1066;dns-sync;< 0.1.1;4;2017-10-24T18:33:36Z
1067;validator;< 2.0.0;2;2017-10-24T18:33:36Z
1068;sequelize;< 2.0.0-rc8;4;2017-10-24T18:33:36Z
1069;marked;< 0.3.3;2;2017-10-24T18:33:36Z
1070;geddy;< 13.0.8;3;2017-10-24T18:33:36Z
1071;ember;>= 2.2.0, < 2.2.1;2;2017-10-24T18:33:36Z
1072;ember;>= 2.1.0, < 2.1.2;2;2017-10-24T18:33:36Z
1073;ember;>= 2.0.0, < 2.0.3;2;2017-10-24T18:33:36Z
1074;ember;>= 1.13.0, < 1.13.12;2;2017-10-24T18:33:36Z
1075;ember;>= 1.12.0, < 1.12.2;2;2017-10-24T18:33:36Z
1076;ember;>= 1.8.0, < 1.11.4;2;2017-10-24T18:33:36Z
1077;ms;< 0.7.1;2;2017-10-24T18:33:36Z
1078;marked;< 0.3.4;3;2017-10-24T18:33:36Z
1079;semver;< 4.3.2;2;2017-10-24T18:33:36Z
1080;serve-index;< 1.6.3;2;2017-10-24T18:33:36Z
1081;uglify-js;< 2.4.24;1;2017-10-24T18:33:36Z
1082;uglify-js;< 2.6.0;1;2017-10-24T18:33:36Z
1083;send;< 0.11.1;1;2017-10-24T18:33:36Z
1084;tar;< 2.0.0;4;2017-10-24T18:33:36Z
1085;handlebars;< 4.0.0;2;2017-10-24T18:33:36Z
1086;mustache;< 2.2.1;3;2017-10-24T18:33:36Z
1087;electron;< 0.33.5;3;2017-10-24T18:33:35Z
1088;moment;< 2.11.2;2;2017-10-24T18:33:35Z
1089;jquery-ui;< 1.12.0;3;2017-10-24T18:33:35Z
1090;plotly.js;< 1.16.0;2;2017-10-24T18:33:35Z
